CountryCode,Region,Country,MapName,CountryArea,area_1m,area_2m,area_3m,area_4m,area_5m,percent_1m,percent_2m,percent_3m,percent_4m,percent_5m,Population,pop_1m,pop_2m,pop_3m,pop_4m,pop_5m,pop_percent_1m,pop_percent_2m,pop_percent_3m,pop_percent_4m,pop_percent_5m,pop_density_1m,pop_density_2m,pop_density_3m,pop_density_4m,pop_density_5m
SOM,Sub-Saharan Africa,Somalia,e020n40,634315,567,836,1177,1620,2185,0.09,0.13,0.19,0.26,0.34,8778000,39302,53213,90418,129101,177212,0.45,0.61,1.03,1.47,2.02,69.31569665,63.65191388,76.82073067,79.69197531,81.10389016
SDN,Sub-Saharan Africa,Sudan,e020n40,2492385,517,757,1059,1384,1696,0.02,0.03,0.04,0.06,0.07,31095000,26805,50767,75670,129216,187512,0.09,0.16,0.24,0.42,0.6,51.84719536,67.06340819,71.45420208,93.36416185,110.5613208
TGO,Sub-Saharan Africa,Togo,w020n40,57277,107,155,209,267,330,0.19,0.27,0.36,0.47,0.58,4527000,40904,53895,94655,144835,186124,0.9,1.19,2.09,3.2,4.11,382.2803738,347.7096774,452.8947368,542.4531835,564.0121212
STP,Sub-Saharan Africa,Sao Tome and Principe,w020n40,1008,7,9,10,12,14,0.69,0.89,0.99,1.19,1.39,138000,174,174,138,1396,1452,0.13,0.13,0.1,1.01,1.05,24.85714286,19.33333333,13.8,116.3333333,103.7142857
TZA,Sub-Saharan Africa,"Tanzania, United Republic of",e020n40,891021,150,230,365,563,805,0.02,0.03,0.04,0.06,0.09,35119000,41313,54398,95602,146283,187985,0.12,0.15,0.27,0.42,0.54,275.42,236.5130435,261.9232877,259.8277087,233.5217391
DJI,Sub-Saharan Africa,Djibouti,e020n40,20903,307,331,365,408,460,1.47,1.58,1.75,1.95,2.2,632000,17301,34137,51409,86482,90968,2.74,5.4,8.13,13.68,14.39,56.35504886,103.1329305,140.8465753,211.9656863,197.7565217
MMR,East Asia,Myanmar (Burma),e060n40,669310,4826,7363,11948,19371,27257,0.72,1.1,1.79,2.89,4.07,47749000,591118,1083044,2213080,3964937,5859748,1.24,2.27,4.63,8.3,12.27,122.4861169,147.0927611,185.2259792,204.6841671,214.9813993
BRN,East Asia,Brunei,e100n40,5901,17,21,29,52,99,0.29,0.36,0.49,0.88,1.68,328000,1584,1626,2344,4310,10953,0.48,0.5,0.71,1.31,3.34,93.17647059,77.42857143,80.82758621,82.88461538,110.6363636
KHM,East Asia,Cambodia,e100n40,179492,1034,1892,3319,5220,7565,0.58,1.05,1.85,2.91,4.21,13104000,130478,277645,519612,845556,1249821,1,2.12,3.97,6.45,9.54,126.1876209,146.7468288,156.5567942,161.983908,165.2109716
CHN,East Asia,China,e100n40,9198103,31598,49384,70304,93815,116606,0.34,0.54,0.76,1.02,1.27,1275133000,22699295,34965603,50732742,69240818,88275595,1.78,2.74,3.98,5.43,6.92,718.3775872,708.0350518,721.6195665,738.0570058,757.0416188
IDN,East Asia,Indonesia,e100n40,1898776,13861,22150,35090,53526,77205,0.73,1.17,1.85,2.82,4.07,212092000,2774692,5103216,8348630,12459289,17327380,1.31,2.41,3.94,5.87,8.17,200.179785,230.3934989,237.9204902,232.7707843,224.4333916
PRK,East Asia,North Korea,e100n40,122440,262,481,868,1496,3038,0.21,0.39,0.71,1.22,2.48,22268000,86211,163803,343249,601995,951319,0.39,0.74,1.54,2.7,4.27,329.0496183,340.5467775,395.4481567,402.4030749,313.1398947
KOR,East Asia,South Korea,e100n40,98977,536,895,1350,1927,2637,0.54,0.9,1.36,1.95,2.66,46740000,228762,355878,590494,886687,1276765,0.49,0.76,1.26,1.9,2.73,426.7947761,397.6290503,437.402963,460.1385573,484.173303
MYS,East Asia,Malaysia,e100n40,329941,745,1334,2500,4305,6638,0.23,0.4,0.76,1.3,2.01,22218000,97384,249682,538892,934249,1458363,0.44,1.12,2.43,4.2,6.56,130.7167785,187.167916,215.5568,217.0148664,219.6991564
PNG,East Asia,Papua New Guinea,e140n40,464043,659,925,1359,2029,3121,0.14,0.2,0.29,0.44,0.67,4809000,4963,7047,9859,13799,24860,0.1,0.15,0.21,0.29,0.52,7.531107739,7.618378378,7.25459897,6.800887137,7.965395707
PHL,East Asia,Philippines,e100n40,295408,1735,2837,4526,6709,9078,0.59,0.96,1.53,2.27,3.07,75653000,805406,1437272,2300469,4821392,6243089,1.06,1.9,3.04,6.37,8.25,464.210951,506.6168488,508.2786125,718.6454017,687.7163472
THA,East Asia,Thailand,e060n40,513618,1607,3685,7578,12924,18498,0.31,0.72,1.48,2.52,3.6,62806000,686175,1516607,3074655,5297225,7810588,1.09,2.41,4.9,8.43,12.44,426.9912881,411.5622795,405.7343626,409.8750387,422.2395935
TWN,East Asia,Taiwan China,e100n40,36223,574,868,1204,1552,1882,1.58,2.4,3.32,4.28,5.2,22370000,670339,986225,1362055,1798884,2199026,3,4.41,6.09,8.04,9.83,1167.837979,1136.203917,1131.274917,1159.074742,1168.451647
VNM,East Asia,Vietnam,e100n40,328535,16977,28090,38860,47080,52926,5.17,8.55,11.83,14.33,16.11,78137000,8437072,14036213,20003408,25389856,29836444,10.8,17.96,25.6,32.49,38.18,496.9707251,499.6871841,514.7557385,539.2917587,563.7388807
BGD,South Asia,Bangladesh,e060n40,136305,2062,3467,6365,11166,17611,1.51,2.54,4.67,8.19,12.92,137439000,1526826,2753213,5407944,10183882,16720860,1.11,2,3.93,7.41,12.17,740.4587779,794.1197,849.6377062,912.0438832,949.455454
LKA,South Asia,Sri Lanka,e060n40,65830,311,571,1042,1667,2341,0.47,0.87,1.58,2.53,3.56,18924000,126368,227632,429293,679015,949770,0.67,1.2,2.27,3.59,5.02,406.3279743,398.6549912,411.9894434,407.3275345,405.7112345
IND,South Asia,India,e060n40,3209716,7811,13562,21267,30419,39520,0.24,0.42,0.66,0.95,1.23,1008937000,4446570,7447115,12318026,12145257,24626888,0.44,0.74,1.22,1.2,2.44,569.2702599,549.1162808,579.208445,399.265492,623.15
PAK,South Asia,Pakistan,e060n40,785320,3038,5692,8939,11726,14140,0.39,0.72,1.14,1.49,1.8,141256000,301960,502815,749875,1094385,1393182,0.21,0.36,0.53,0.77,0.99,99.39433838,88.33713985,83.88801879,93.32977998,98.52772277
